metro,city,year_month,house_count,power_use,bill
서울특별시,도봉구,2021-01,147759,273.16,30452
서울특별시,마포구,2021-01,194852,253.7,29642
서울특별시,송파구,2021-01,283795,288.99,35473
서울특별시,용산구,2021-01,123964,271.53,36605
서울특별시,관악구,2021-01,300518,205.28,22157
서울특별시,광진구,2021-01,186117,230.88,26964
서울특별시,성북구,2021-01,211513,266.93,31805
서울특별시,동대문구,2021-01,188691,242.6,27348
서울특별시,서대문구,2021-01,159655,254.49,29994
서울특별시,동작구,2021-01,202446,237.33,27555
서울특별시,양천구,2021-01,190981,284.93,33649
서울특별시,중구,2021-01,73004,245.76,29345
서울특별시,성동구,2021-01,140298,278.91,32365
서울특별시,은평구,2021-01,224384,263.93,31541
서울특별시,영등포구,2021-01,210975,243.61,27546
서울특별시,중랑구,2021-01,193607,248.06,28159
서울특별시,서초구,2021-01,184928,299.92,40534
서울특별시,강서구,2021-01,283973,244.48,27471
서울특별시,구로구,2021-01,206131,256.44,28472
서울특별시,강동구,2021-01,209215,261.41,31036
서울특별시,종로구,2021-01,87588,238.78,31469
서울특별시,강남구,2021-01,260028,281.76,36337
서울특별시,노원구,2021-01,224577,278.15,29183
서울특별시,강북구,2021-01,156442,244.17,27804
서울특별시,금천구,2021-01,132414,229.47,25202
부산광역시,동구,2021-01,54248,223.66,25690
부산광역시,영도구,2021-01,64075,233.17,26254
부산광역시,금정구,2021-01,129689,243.93,28322
부산광역시,연제구,2021-01,102005,276.5,31721
부산광역시,부산진구,2021-01,196774,252.89,28307
부산광역시,중구,2021-01,31791,184.4,20992
부산광역시,수영구,2021-01,97065,253.09,29351
부산광역시,사상구,2021-01,107555,255.17,27673
부산광역시,기장군,2021-01,53959,242.98,28769
부산광역시,북구,2021-01,132867,272.21,29583
부산광역시,해운대구,2021-01,191616,287.39,33092
부산광역시,강서구,2021-01,69513,274.64,32091
부산광역시,서구,2021-01,62601,233.72,27756
부산광역시,동래구,2021-01,127414,277.69,32777
부산광역시,남구,2021-01,137228,266.52,31067
부산광역시,사하구,2021-01,158552,254.71,28081
대구광역시,북구,2021-01,215449,264.23,28502
대구광역시,달성군,2021-01,118099,268.06,28943
대구광역시,중구,2021-01,48284,231.69,26406
대구광역시,서구,2021-01,94942,231.8,26578
대구광역시,달서구,2021-01,272183,265.34,28440
대구광역시,동구,2021-01,178849,254.0,28177
대구광역시,수성구,2021-01,195097,288.41,33980
대구광역시,남구,2021-01,90866,218.6,24845
인천광역시,옹진군,2021-01,13917,190.8,25906
인천광역시,중구,2021-01,79949,253.87,29989
인천광역시,미추홀구,2021-01,221502,239.72,27631
인천광역시,남동구,2021-01,248361,275.92,31494
인천광역시,계양구,2021-01,135718,266.71,29866
인천광역시,강화군,2021-01,40274,219.31,30303
인천광역시,부평구,2021-01,235306,269.27,30242
인천광역시,동구,2021-01,31656,260.62,29446
인천광역시,서구,2021-01,249108,284.18,34108
인천광역시,연수구,2021-01,172790,296.98,35827
광주광역시,남구,2021-01,109024,269.82,31017
광주광역시,동구,2021-01,65227,233.13,27289
광주광역시,서구,2021-01,155275,260.12,28632
광주광역시,광산구,2021-01,199915,266.7,29074
광주광역시,북구,2021-01,229107,253.37,27859
대전광역시,유성구,2021-01,179163,260.52,28779
대전광역시,중구,2021-01,122295,253.38,28172
대전광역시,서구,2021-01,251797,243.05,25701
대전광역시,동구,2021-01,136123,222.26,24003
대전광역시,대덕구,2021-01,95737,233.76,25223
울산광역시,남구,2021-01,168864,254.34,29119
울산광역시,북구,2021-01,97272,293.95,32635
울산광역시,중구,2021-01,109891,262.42,30970
울산광역시,동구,2021-01,79312,249.43,27943
울산광역시,울주군,2021-01,122922,242.69,27826
경기도,구리시,2021-01,85131,297.64,34554
경기도,남양주시,2021-01,304255,313.4,38369
경기도,하남시,2021-01,137320,278.75,32885
경기도,안성시,2021-01,114407,237.35,26996
경기도,안산시 단원구,2021-01,171390,243.77,26728
경기도,수원시 권선구,2021-01,175811,281.48,32292
경기도,용인시 수지구,2021-01,138871,353.96,44703
경기도,부천시,2021-01,381432,272.55,32076
경기도,평택시,2021-01,326167,243.55,27907
경기도,동두천시,2021-01,49518,264.83,30345
경기도,과천시,2021-01,27843,243.18,30761
경기도,군포시,2021-01,119059,283.58,32324
경기도,의왕시,2021-01,66030,311.08,37130
경기도,양주시,2021-01,100007,280.78,33184
경기도,안양시 만안구,2021-01,108476,274.79,31767
경기도,가평군,2021-01,37975,235.62,32471
경기도,성남시 중원구,2021-01,103192,253.54,29250
경기도,수원시 팔달구,2021-01,102900,232.96,26441
경기도,고양시 일산동구,2021-01,133172,304.47,37524
경기도,의정부시,2021-01,214305,282.78,31610
경기도,오산시,2021-01,122746,258.37,28233
경기도,시흥시,2021-01,264061,260.96,28927
경기도,여주시,2021-01,62824,245.49,30988
경기도,파주시,2021-01,217622,285.89,35055
경기도,광주시,2021-01,180089,293.22,37632
경기도,연천군,2021-01,26227,218.81,28738
경기도,이천시,2021-01,115887,256.72,30974
경기도,용인시 처인구,2021-01,128527,271.26,34246
경기도,부천시 남구,2021-01,1,127.0,11678
경기도,수원시 장안구,2021-01,126851,261.63,30230
경기도,안양시 동안구,2021-01,122178,307.58,35330
경기도,김포시,2021-01,209202,313.9,38844
경기도,고양시 덕양구,2021-01,177551,283.91,32948
경기도,안산시 상록구,2021-01,185066,238.43,27208
경기도,화성시,2021-01,415702,281.85,33111
경기도,포천시,2021-01,81499,244.19,30905
경기도,성남시 수정구,2021-01,126396,241.05,27988
경기도,성남시 분당구,2021-01,195337,313.9,38588
경기도,수원시 영통구,2021-01,164322,284.85,33067
경기도,용인시 기흥구,2021-01,176536,325.51,40195
