ISO_CODE,metro,city,year_month,house_count,power_use,bill,total_usage
KR-11,서울특별시,도봉구,2021-01,147759,273.16,30452,40361848.44
KR-11,서울특별시,마포구,2021-01,194852,253.7,29642,49433952.4
KR-11,서울특별시,송파구,2021-01,283795,288.99,35473,82013917.05
KR-11,서울특별시,용산구,2021-01,123964,271.53,36605,33659944.92
KR-11,서울특별시,관악구,2021-01,300518,205.28,22157,61690335.04
KR-11,서울특별시,광진구,2021-01,186117,230.88,26964,42970692.96
KR-11,서울특별시,성북구,2021-01,211513,266.93,31805,56459165.09
KR-11,서울특별시,동대문구,2021-01,188691,242.6,27348,45776436.6
KR-11,서울특별시,서대문구,2021-01,159655,254.49,29994,40630600.95
KR-11,서울특별시,동작구,2021-01,202446,237.33,27555,48046509.18
KR-11,서울특별시,양천구,2021-01,190981,284.93,33649,54416216.33
KR-11,서울특별시,중구,2021-01,73004,245.76,29345,17941463.04
KR-11,서울특별시,성동구,2021-01,140298,278.91,32365,39130515.18
KR-11,서울특별시,은평구,2021-01,224384,263.93,31541,59221669.12
KR-11,서울특별시,영등포구,2021-01,210975,243.61,27546,51395619.75
KR-11,서울특별시,중랑구,2021-01,193607,248.06,28159,48026152.42
KR-11,서울특별시,서초구,2021-01,184928,299.92,40534,55463605.76
KR-11,서울특별시,강서구,2021-01,283973,244.48,27471,69425719.04
KR-11,서울특별시,구로구,2021-01,206131,256.44,28472,52860233.64
KR-11,서울특별시,강동구,2021-01,209215,261.41,31036,54690893.15
KR-11,서울특별시,종로구,2021-01,87588,238.78,31469,20914262.64
KR-11,서울특별시,강남구,2021-01,260028,281.76,36337,73265489.28
KR-11,서울특별시,노원구,2021-01,224577,278.15,29183,62466092.55
KR-11,서울특별시,강북구,2021-01,156442,244.17,27804,38198443.14
KR-11,서울특별시,금천구,2021-01,132414,229.47,25202,30385040.58
KR-26,부산광역시,동구,2021-01,54248,223.66,25690,12133107.68
KR-26,부산광역시,영도구,2021-01,64075,233.17,26254,14940367.75
KR-26,부산광역시,금정구,2021-01,129689,243.93,28322,31635037.77
KR-26,부산광역시,연제구,2021-01,102005,276.5,31721,28204382.5
KR-26,부산광역시,부산진구,2021-01,196774,252.89,28307,49762176.86
KR-26,부산광역시,중구,2021-01,31791,184.4,20992,5862260.4
KR-26,부산광역시,수영구,2021-01,97065,253.09,29351,24566180.85
KR-26,부산광역시,사상구,2021-01,107555,255.17,27673,27444809.35
KR-26,부산광역시,기장군,2021-01,53959,242.98,28769,13110957.82
KR-26,부산광역시,북구,2021-01,132867,272.21,29583,36167726.07
KR-26,부산광역시,해운대구,2021-01,191616,287.39,33092,55068522.24
KR-26,부산광역시,강서구,2021-01,69513,274.64,32091,19091050.32
