year_month,district_code,electricity,heat,water_cool,water_hot
202301,11000,,,,
202301,11110,885,0,214,0
202301,11140,919,29,214,7
202301,11170,878,1629,160,227
202301,11200,901,165,205,6
202301,11215,902,509,203,27
202301,11230,833,139,198,8
202301,11260,827,471,191,118
202301,11290,884,107,235,15
202301,11305,845,190,213,25
202301,11320,723,477,199,110
202301,11350,714,1160,158,231
202301,11380,913,525,229,105
202301,11410,882,313,215,151
202301,11440,948,632,232,135
202301,11470,808,1102,195,354
202301,11500,751,999,184,262
202301,11530,762,322,223,83
202301,11545,823,210,231,38
202301,11560,798,608,197,60
202301,11590,855,519,213,107
202301,11620,779,235,220,25
202301,11650,904,1192,175,242
202301,11680,803,1738,165,229
202301,11710,826,1407,189,320
202301,11740,920,818,210,212
202301,26000,,,,
202301,26110,466,0,180,0
202301,26140,717,0,232,0
202301,26170,851,0,251,0
202301,26200,542,131,241,28
202301,26230,677,72,244,23
202301,26260,775,45,250,4
202301,26290,736,0,242,0
202301,26320,644,56,259,10
202301,26350,702,389,236,185
202301,26380,587,121,255,14
202301,26410,692,11,244,1
202301,26440,792,552,247,295
202301,26470,661,0,240,0
202301,26500,707,401,228,30
202301,26530,559,203,259,33
202301,26710,748,543,259,243
202301,27000,,,,
202301,27110,791,73,228,9
202301,27140,711,134,254,38
202301,27170,508,249,218,135
202301,27200,652,81,203,7
202301,27230,721,77,267,15
202301,27260,687,207,227,31
202301,27290,680,827,250,266
202301,27710,771,365,261,110
202301,27720,768,0,135,0
202301,28000,,,,
202301,28110,849,682,213,243
202301,28140,782,2,205,0
202301,28177,778,236,242,109
202301,28185,849,956,232,298
202301,28200,793,704,233,231
202301,28237,736,785,250,196
202301,28245,750,563,276,169
202301,28260,869,590,239,251
202301,28710,635,0,257,0
202301,28720,1743,0,63,0
202301,29000,,,,
202301,29110,678,0,169,0
202301,29140,596,37,181,5
202301,29155,606,0,177,0
202301,29170,614,126,189,35
202301,29200,706,367,207,101
202301,30000,,,,
202301,30110,697,229,220,30
202301,30140,670,554,203,73
202301,30170,677,901,212,197
202301,30200,747,696,198,176
202301,30230,661,334,215,104
202301,31000,,,,
202301,31110,686,3,261,0
202301,31140,629,72,250,6
202301,31170,605,17,278,4
202301,31200,717,2,257,0
202301,31710,676,0,263,0
202301,36110,846,987,276,334
202301,41000,,,,
202301,41110,,,,
202301,41111,818,1041,240,327
202301,41113,824,771,232,256
202301,41115,850,875,234,221
202301,41117,803,1208,220,419
202301,41130,,,,
202301,41131,849,936,144,342
202301,41133,798,701,152,223
202301,41135,710,1449,145,371
202301,41150,858,343,291,127
202301,41170,,,,
202301,41171,870,362,227,163
202301,41173,797,1294,242,405
202301,41190,,,,
202301,41192,777,1368,223,367
202301,41194,824,390,211,140
202301,41196,750,912,195,205
202301,41210,866,942,232,246
202301,41220,804,412,260,189
202301,41250,760,0,283,0
202301,41270,,,,
202301,41271,723,993,175,204
202301,41273,778,942,200,297
202301,41280,,,,
