ISO_CODE,metro,city,year_month,electricity,heat,water_cool,water_hot
KR-11,서울특별시,종로구,2023-01,885.0,0.0,214.0,0.0
KR-11,서울특별시,중구,2023-01,919.0,29.0,214.0,7.0
KR-11,서울특별시,용산구,2023-01,878.0,1629.0,160.0,227.0
KR-11,서울특별시,성동구,2023-01,901.0,165.0,205.0,6.0
KR-11,서울특별시,광진구,2023-01,902.0,509.0,203.0,27.0
KR-11,서울특별시,동대문구,2023-01,833.0,139.0,198.0,8.0
KR-11,서울특별시,중랑구,2023-01,827.0,471.0,191.0,118.0
KR-11,서울특별시,성북구,2023-01,884.0,107.0,235.0,15.0
KR-11,서울특별시,강북구,2023-01,845.0,190.0,213.0,25.0
KR-11,서울특별시,도봉구,2023-01,723.0,477.0,199.0,110.0
KR-11,서울특별시,노원구,2023-01,714.0,1160.0,158.0,231.0
KR-11,서울특별시,은평구,2023-01,913.0,525.0,229.0,105.0
KR-11,서울특별시,서대문구,2023-01,882.0,313.0,215.0,151.0
KR-11,서울특별시,마포구,2023-01,948.0,632.0,232.0,135.0
KR-11,서울특별시,양천구,2023-01,808.0,1102.0,195.0,354.0
KR-11,서울특별시,강서구,2023-01,751.0,999.0,184.0,262.0
KR-11,서울특별시,구로구,2023-01,762.0,322.0,223.0,83.0
KR-11,서울특별시,금천구,2023-01,823.0,210.0,231.0,38.0
KR-11,서울특별시,영등포구,2023-01,798.0,608.0,197.0,60.0
KR-11,서울특별시,동작구,2023-01,855.0,519.0,213.0,107.0
KR-11,서울특별시,관악구,2023-01,779.0,235.0,220.0,25.0
KR-11,서울특별시,서초구,2023-01,904.0,1192.0,175.0,242.0
KR-11,서울특별시,강남구,2023-01,803.0,1738.0,165.0,229.0
KR-11,서울특별시,송파구,2023-01,826.0,1407.0,189.0,320.0
KR-11,서울특별시,강동구,2023-01,920.0,818.0,210.0,212.0
KR-26,부산광역시,중구,2023-01,466.0,0.0,180.0,0.0
KR-26,부산광역시,서구,2023-01,717.0,0.0,232.0,0.0
KR-26,부산광역시,동구,2023-01,851.0,0.0,251.0,0.0
KR-26,부산광역시,영도구,2023-01,542.0,131.0,241.0,28.0
KR-26,부산광역시,부산진구,2023-01,677.0,72.0,244.0,23.0
KR-26,부산광역시,동래구,2023-01,775.0,45.0,250.0,4.0
KR-26,부산광역시,남구,2023-01,736.0,0.0,242.0,0.0
KR-26,부산광역시,북구,2023-01,644.0,56.0,259.0,10.0
KR-26,부산광역시,해운대구,2023-01,702.0,389.0,236.0,185.0
KR-26,부산광역시,사하구,2023-01,587.0,121.0,255.0,14.0
KR-26,부산광역시,금정구,2023-01,692.0,11.0,244.0,1.0
KR-26,부산광역시,강서구,2023-01,792.0,552.0,247.0,295.0
KR-26,부산광역시,연제구,2023-01,661.0,0.0,240.0,0.0
KR-26,부산광역시,수영구,2023-01,707.0,401.0,228.0,30.0
KR-26,부산광역시,사상구,2023-01,559.0,203.0,259.0,33.0
KR-26,부산광역시,기장군,2023-01,748.0,543.0,259.0,243.0
KR-27,대구광역시,중구,2023-01,791.0,73.0,228.0,9.0
KR-27,대구광역시,동구,2023-01,711.0,134.0,254.0,38.0
KR-27,대구광역시,서구,2023-01,508.0,249.0,218.0,135.0
KR-27,대구광역시,남구,2023-01,652.0,81.0,203.0,7.0
KR-27,대구광역시,북구,2023-01,721.0,77.0,267.0,15.0
KR-27,대구광역시,수성구,2023-01,687.0,207.0,227.0,31.0
KR-27,대구광역시,달서구,2023-01,680.0,827.0,250.0,266.0
KR-27,대구광역시,달성군,2023-01,771.0,365.0,261.0,110.0
KR-27,대구광역시,군위군,2023-01,768.0,0.0,135.0,0.0
KR-28,인천광역시,중구,2023-01,849.0,682.0,213.0,243.0
KR-28,인천광역시,동구,2023-01,782.0,2.0,205.0,0.0
KR-28,인천광역시,미추홀구,2023-01,778.0,236.0,242.0,109.0
KR-28,인천광역시,연수구,2023-01,849.0,956.0,232.0,298.0
KR-28,인천광역시,남동구,2023-01,793.0,704.0,233.0,231.0
KR-28,인천광역시,부평구,2023-01,736.0,785.0,250.0,196.0
KR-28,인천광역시,계양구,2023-01,750.0,563.0,276.0,169.0
KR-28,인천광역시,서구,2023-01,869.0,590.0,239.0,251.0
KR-28,인천광역시,강화군,2023-01,635.0,0.0,257.0,0.0
KR-28,인천광역시,옹진군,2023-01,1743.0,0.0,63.0,0.0
KR-29,광주광역시,동구,2023-01,678.0,0.0,169.0,0.0
KR-29,광주광역시,서구,2023-01,596.0,37.0,181.0,5.0
KR-29,광주광역시,남구,2023-01,606.0,0.0,177.0,0.0
KR-29,광주광역시,북구,2023-01,614.0,126.0,189.0,35.0
KR-29,광주광역시,광산구,2023-01,706.0,367.0,207.0,101.0
KR-30,대전광역시,동구,2023-01,697.0,229.0,220.0,30.0
KR-30,대전광역시,중구,2023-01,670.0,554.0,203.0,73.0
KR-30,대전광역시,서구,2023-01,677.0,901.0,212.0,197.0
KR-30,대전광역시,유성구,2023-01,747.0,696.0,198.0,176.0
KR-30,대전광역시,대덕구,2023-01,661.0,334.0,215.0,104.0
KR-31,울산광역시,중구,2023-01,686.0,3.0,261.0,0.0
KR-31,울산광역시,남구,2023-01,629.0,72.0,250.0,6.0
KR-31,울산광역시,동구,2023-01,605.0,17.0,278.0,4.0
KR-31,울산광역시,북구,2023-01,717.0,2.0,257.0,0.0
KR-31,울산광역시,울주군,2023-01,676.0,0.0,263.0,0.0
KR-50,세종특별자치시,,2023-01,846.0,987.0,276.0,334.0
KR-41,경기도,수원시 장안구,2023-01,818.0,1041.0,240.0,327.0
KR-41,경기도,수원시 권선구,2023-01,824.0,771.0,232.0,256.0
KR-41,경기도,수원시 팔달구,2023-01,850.0,875.0,234.0,221.0
KR-41,경기도,수원시 영통구,2023-01,803.0,1208.0,220.0,419.0
